passport,total_score,total_destinations,breakdown,average_multiplier,rank
SG,176.9,200,"{'visa_free': 141, 'visa_on_arrival': 44, 'eta_required': 1, 'visa_required': 14, 'unknown': 0}",0.885,1
IE,173.6,200,"{'visa_free': 128, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 15, 'unknown': 0}",0.868,2
JP,171.8,200,"{'visa_free': 127, 'visa_on_arrival': 56, 'eta_required': 0, 'visa_required': 17, 'unknown': 0}",0.859,3
HK,171.0,200,"{'visa_free': 131, 'visa_on_arrival': 50, 'eta_required': 0, 'visa_required': 19, 'unknown': 0}",0.855,4
AE,170.6,200,"{'visa_free': 133, 'visa_on_arrival': 47, 'eta_required': 0, 'visa_required': 20, 'unknown': 0}",0.853,5
NZ,169.8,200,"{'visa_free': 125, 'visa_on_arrival': 56, 'eta_required': 0, 'visa_required': 19, 'unknown': 0}",0.849,6
MY,169.6,200,"{'visa_free': 132, 'visa_on_arrival': 47, 'eta_required': 0, 'visa_required': 21, 'unknown': 0}",0.848,7
US,168.8,200,"{'visa_free': 124, 'visa_on_arrival': 56, 'eta_required': 0, 'visa_required': 18, 'unknown': 2}",0.844,8
KR,168.6,200,"{'visa_free': 127, 'visa_on_arrival': 52, 'eta_required': 0, 'visa_required': 21, 'unknown': 0}",0.843,9
AU,168.4,200,"{'visa_free': 122, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 20, 'unknown': 0}",0.842,10
AR,168.2,200,"{'visa_free': 121, 'visa_on_arrival': 59, 'eta_required': 0, 'visa_required': 20, 'unknown': 0}",0.841,11
DK,168.0,200,"{'visa_free': 124, 'visa_on_arrival': 55, 'eta_required': 0, 'visa_required': 14, 'unknown': 7}",0.84,12
BR,168.0,200,"{'visa_free': 116, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 19, 'unknown': 0}",0.84,13
GB,167.8,200,"{'visa_free': 127, 'visa_on_arrival': 51, 'eta_required': 0, 'visa_required': 22, 'unknown': 0}",0.839,14
FI,167.8,200,"{'visa_free': 127, 'visa_on_arrival': 51, 'eta_required': 0, 'visa_required': 15, 'unknown': 7}",0.839,15
EE,167.6,200,"{'visa_free': 126, 'visa_on_arrival': 52, 'eta_required': 0, 'visa_required': 15, 'unknown': 7}",0.838,16
CA,167.6,200,"{'visa_free': 122, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 21, 'unknown': 0}",0.838,17
BE,167.4,200,"{'visa_free': 129, 'visa_on_arrival': 48, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.837,18
HU,167.4,200,"{'visa_free': 121, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 14, 'unknown': 7}",0.837,19
FR,167.3,200,"{'visa_free': 129, 'visa_on_arrival': 47, 'eta_required': 1, 'visa_required': 16, 'unknown': 7}",0.837,20
CH,167.0,200,"{'visa_free': 127, 'visa_on_arrival': 50, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.835,21
LV,167.0,200,"{'visa_free': 127, 'visa_on_arrival': 50, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.835,22
MT,166.8,200,"{'visa_free': 126, 'visa_on_arrival': 51, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.834,23
LU,166.6,200,"{'visa_free': 125, 'visa_on_arrival': 52, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.833,24
CY,166.6,200,"{'visa_free': 125, 'visa_on_arrival': 52, 'eta_required': 0, 'visa_required': 23, 'unknown': 0}",0.833,25
SK,166.6,200,"{'visa_free': 121, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 15, 'unknown': 7}",0.833,26
